-0.561659, -0.342211, 1.03974
-0.561652, -0.342218, 1.03975
-0.561382, -0.341989, 1.04047
-0.561247, -0.341881, 1.04063
-0.561406, -0.341679, 1.03986
-0.561359, -0.341802, 1.04044
-0.561443, -0.341739, 1.04003
-0.561248, -0.341404, 1.04037
-0.561258, -0.341398, 1.04035
-0.561395, -0.34172, 1.03993
-0.561181, -0.341444, 1.04049
-0.561444, -0.341772, 1.04002
-0.561618, -0.341421, 1.03923
-0.561454, -0.341618, 1.04005
-0.561537, -0.34169, 1.03984
-0.561509, -0.341618, 1.03968
-0.561388, -0.341743, 1.04028
-0.561366, -0.342016, 1.04053
-0.561543, -0.341676, 1.0398
-0.561502, -0.341484, 1.03971
-0.561774, -0.341461, 1.04
-0.561391, -0.341694, 1.03993
-0.561391, -0.341694, 1.03993
-0.561432, -0.341779, 1.04008
-0.561493, -0.341484, 1.03975
