0.306947, 0.31189, -0.571115
0.306961, 0.311618, -0.5705
0.306911, 0.311669, -0.570671
0.306968, 0.311655, -0.570568
0.306912, 0.311701, -0.570667
0.306951, 0.311876, -0.571131
0.306782, 0.311405, -0.569872
0.307208, 0.311724, -0.570673
0.306827, 0.311634, -0.570483
0.30722, 0.311705, -0.570677
0.306866, 0.311571, -0.570326
0.306948, 0.311657, -0.570925
0.306823, 0.311622, -0.570451
0.30685, 0.311131, -0.56965
0.306972, 0.311628, -0.570568
0.306972, 0.311628, -0.570568
0.306917, 0.311687, -0.570711
0.306949, 0.311657, -0.570944
